scenario_id,scenario_name,method,delta_median,coverage_90,rank_pct,dispersion,delta_maxDD,pct_positive
07,crash_in_holdout_start,cpcv,0.27180905791636123,1,0.4,1.9630821225856447,0.22963458149416538,0.2
07,crash_in_holdout_start,wf,2.7629094686854097,0,0.0,0.050995423321118026,0.33963587462353517,1.0
07,crash_in_holdout_start,kfold,-1.751333710349607,0,1.0,1.7738895088279276,-0.013305725280740477,0.0
08,crash_in_holdout_end,cpcv,0.11114751962137737,1,0.2,0.7673196804516645,0.26458614364542504,0.2
08,crash_in_holdout_end,wf,4.152183360507912,0,0.0,2.0030438067856164,0.35852194260693526,1.0
08,crash_in_holdout_end,kfold,0.2958450657661297,1,0.4,3.978555265335232,0.05745216311798751,0.4
09,bull_then_crash_holdout,cpcv,-2.289362565818963,0,1.0,1.3308203443612168,0.1977241387754583,0.8
09,bull_then_crash_holdout,wf,-7.47100249079508,0,1.0,2.467332940102265,-0.3184654188205803,0.0
09,bull_then_crash_holdout,kfold,-1.9105683674019187,1,0.6,6.091092045203591,0.03704561204807555,0.6
10,bear_then_recovery_holdout,cpcv,4.73920068576373,0,0.0,1.010237149268962,0.14663684707166497,1.0
10,bear_then_recovery_holdout,wf,5.1079247863372785,0,0.0,1.7667046787513065,0.03876766983633301,1.0
10,bear_then_recovery_holdout,kfold,5.494036329621794,0,0.0,2.7434956116582976,0.03876766983633295,1.0
11,crash_dev_recovery_holdout,cpcv,-4.062942669390314,0,1.0,0.9922797736386938,-0.13778842530661056,1.0
11,crash_dev_recovery_holdout,wf,-1.4191517621088972,1,0.5,1.6627411601234527,-0.06555310824990257,1.0
11,crash_dev_recovery_holdout,kfold,-2.318357486558636,0,1.0,1.7832555757171344,-0.1651166862002703,1.0
12,stagnant_crash_holdout,cpcv,2.3116165360621825,0,0.0,0.6131193762026278,0.5253394823304813,1.0
12,stagnant_crash_holdout,wf,1.2966262577376693,1,0.5,2.6685175739985514,0.403487278356468,0.5
12,stagnant_crash_holdout,kfold,2.4511748413207024,1,0.2,4.0736505503226255,0.4835867134852879,0.8
13,bull_crash_retrain_recovery,cpcv,5.04998725480626,0,0.0,1.0840968902400874,-0.1726723044164365,0.4
13,bull_crash_retrain_recovery,wf,5.809143180433,0,0.0,1.9547404018735028,-0.1797433078450293,0.5
13,bull_crash_retrain_recovery,kfold,3.6493886403367655,0,0.0,3.3327538646258477,-0.11722238881165453,0.4
14,double_crash_dev_holdout,cpcv,5.766590857182496,0,0.0,1.110996845965695,0.3863779401457547,1.0
14,double_crash_dev_holdout,wf,8.531649971389001,0,0.0,0.4803059198934596,0.5924263090933826,1.0
14,double_crash_dev_holdout,kfold,5.672413122309592,0,0.0,3.123088915931058,0.3959178809494163,0.8
15,recovery_after_crash_dev,cpcv,1.1993632237368785,0,0.0,0.6489416740511752,-1.3104201894506156,0.2
15,recovery_after_crash_dev,wf,1.8867659194607629,0,0.0,0.3519050949963635,-0.9794814501636284,0.0
15,recovery_after_crash_dev,kfold,4.1151656805165935,1,0.4,4.006515086999871,-1.499768507417303,0.6
16,crash_start_warmup,cpcv,3.4072543387495715,0,0.0,1.081327325864064,-0.04793644839778169,1.0
16,crash_start_warmup,wf,-1.655651978578544,1,0.5,2.7454631532473064,-0.5022393847596663,0.0
16,crash_start_warmup,kfold,5.359637966409452,1,0.4,3.742383451335007,-0.1725370353312581,0.6
17,long_bull_short_crash_holdout,cpcv,1.281323886709758,1,0.4,2.328215345278422,0.8276141957478121,0.4
17,long_bull_short_crash_holdout,wf,-2.6367068039904202,0,1.0,0.5553586872790046,0.7361105153908492,0.0
17,long_bull_short_crash_holdout,kfold,-2.3722668399564544,1,0.6,6.485171364114265,0.7384882858224832,0.4
18,volatile_bull,cpcv,1.2028044822519495,0,0.0,0.7417147045892984,0.04997576124847425,1.0
18,volatile_bull,wf,-0.41301594278187215,1,0.5,1.1826683175811161,-0.04360179797722441,0.5
18,volatile_bull,kfold,-0.5482199978318893,1,0.6,3.970458019550283,-0.008555595650378,0.4
19,bear_crash_recovery,cpcv,-0.3964020871626688,1,0.6,0.9791431893867922,-1.8709719174434838,0.0
19,bear_crash_recovery,wf,-0.2690979695922229,1,0.5,0.7408928501235286,-1.6531823084195079,0.0
19,bear_crash_recovery,kfold,-1.680712407747425,0,1.0,0.7346257439284504,-2.250708148794377,0.0
20,realistic_covid_analog,cpcv,2.067770191174458,0,0.0,1.1169579301078145,0.4830514379562807,1.0
20,realistic_covid_analog,wf,-0.6774444127539048,1,0.5,1.8793080626213272,0.47591268840251,0.5
20,realistic_covid_analog,kfold,0.9607759286535482,1,0.2,4.40690055620733,0.45208317368132733,0.8
