scenario_id,scenario_name,method,holdout_sr,delta,bias,z_score,coverage_90,rank_pct,dispersion,delta_maxDD,pct_positive
09,bull_then_crash_holdout,kfold,1.9542360655411628,0.22960953251169358,0.11749324278697651,,0,0.0,0.0,0.505681663236278,1.0
10,bear_then_recovery_holdout,cpcv,3.02558312740793,-3.00602117270837,-0.9935344844693396,2.4105396536243133,0,1.0,1.2470324510898352,-0.047915447776202325,0.6
10,bear_then_recovery_holdout,wf,3.02558312740793,-6.024681024280356,-1.9912462393462,,0,1.0,0.0,-0.7799471167705772,0.0
10,bear_then_recovery_holdout,kfold,3.02558312740793,-4.911783016449189,-1.6234169776909086,,0,1.0,0.0,-0.8164690783232369,0.0
11,crash_dev_recovery_holdout,cpcv,5.810162174390174,-3.8319437536133822,-0.659524405446665,2.5589691921285316,0,1.0,1.4974559933744258,-0.18058456512385668,1.0
11,crash_dev_recovery_holdout,wf,5.810162174390174,-1.910046152449524,-0.3287423130577245,,0,1.0,0.0,-0.31307026892567,1.0
11,crash_dev_recovery_holdout,kfold,5.810162174390174,-4.946429994427699,-0.851341123700539,,0,1.0,0.0,-0.551925688866042,1.0
12,stagnant_crash_holdout,cpcv,0.8517943710150085,1.8429887422296192,2.1636545214938336,-3.6567832909745346,0,0.0,0.5039917861084029,0.432059714208798,1.0
12,stagnant_crash_holdout,wf,0.8517943710150085,0.5273861035560609,0.6191472044216741,,0,0.0,0.0,0.3326201991491803,1.0
12,stagnant_crash_holdout,kfold,0.8517943710150085,1.8159571177583085,2.1319196035474994,,0,0.0,0.0,0.2720238738565302,1.0
13,bull_crash_retrain_recovery,cpcv,4.889750653330943,-6.77928332289604,-1.3864272032517506,4.387220949266847,0,1.0,1.5452340789968495,-0.45885610875724747,0.0
13,bull_crash_retrain_recovery,wf,4.889750653330943,-4.1817543618053925,-0.8552080992016929,,0,1.0,0.0,-0.27230562446244755,1.0
13,bull_crash_retrain_recovery,kfold,4.889750653330943,-5.323306403962252,-1.0886662288875542,,0,1.0,0.0,-0.2907749769983673,0.0
14,double_crash_dev_holdout,cpcv,0.8842295588631733,0.11424835701271796,0.12920667022215765,-0.10523548722364826,1,0.4,1.0856447765563664,0.009142849387298257,0.8
14,double_crash_dev_holdout,wf,0.8842295588631733,0.2573990513855843,0.29109980412384573,,0,0.0,0.0,-0.11539247745393355,1.0
14,double_crash_dev_holdout,kfold,0.8842295588631733,-1.9909816333030586,-2.2516569519150686,,0,1.0,0.0,-0.6311068712892322,0.0
15,recovery_after_crash_dev,cpcv,0.5494173705288998,-1.649950455241447,-3.003091172114039,3.1479915503678684,0,1.0,0.5241279809180672,-1.1720873276491823,0.0
15,recovery_after_crash_dev,wf,0.5494173705288998,0.8929444666154913,1.6252570714243948,,0,0.0,0.0,-0.5133649591842044,1.0
15,recovery_after_crash_dev,kfold,0.5494173705288998,-1.2482468760305054,-2.271946507313508,,0,1.0,0.0,-1.1202509497437405,0.0
16,crash_start_warmup,cpcv,1.0566035330666086,-0.28205717625168514,-0.2669470311471163,0.1714351045431826,1,0.4,1.6452708271346963,0.010538356512589192,0.6
16,crash_start_warmup,wf,1.0566035330666086,-1.5064079326638096,-1.4257078322383814,,0,1.0,0.0,-0.07553015534276541,0.0
16,crash_start_warmup,kfold,1.0566035330666086,-0.7275695172186194,-0.6885927355428909,,0,1.0,0.0,-0.15465891036808954,1.0
17,long_bull_short_crash_holdout,cpcv,2.4817869356507676,-3.5407718579245264,-1.4267025936277944,2.16976438140971,0,1.0,1.6318692887861235,0.5116199582925238,0.2
17,long_bull_short_crash_holdout,wf,2.4817869356507676,-4.003752447173942,-1.6132538976896857,,0,1.0,0.0,0.432850055242149,0.0
17,long_bull_short_crash_holdout,kfold,2.4817869356507676,-2.166506707079067,-0.8729624110584543,,0,1.0,0.0,0.5032457572968403,1.0
18,volatile_bull,cpcv,-1.456491144348708,1.59081468350095,1.0922240685591718,-2.414967230766879,0,0.0,0.6587313745850634,-0.06302726231434752,0.8
18,volatile_bull,wf,-1.456491144348708,3.49669735359464,2.4007680150765633,,0,0.0,0.0,0.32072462695844517,1.0
18,volatile_bull,kfold,-1.456491144348708,0.759976719509205,0.5217860214653347,,0,0.0,0.0,-0.15596875400951749,0.0
19,bear_crash_recovery,cpcv,-1.4961617438591135,-2.0363432176017895,-1.3610448375383286,1.4829676303686603,0,1.0,1.3731541915689434,-2.2824938419110437,0.0
19,bear_crash_recovery,wf,-1.4961617438591135,-0.7183057960197126,-0.4800990260364203,,0,1.0,0.0,-1.2521957047144314,0.0
19,bear_crash_recovery,kfold,-1.4961617438591135,0.238815452255015,0.1596187399091145,,0,0.0,0.0,-1.5600234444126502,0.0
20,realistic_covid_analog,cpcv,-2.1256868866110734,2.523504231013583,1.1871476683175757,-1.996782988630334,0,0.0,1.2637849207362017,0.510290066762424,0.8
20,realistic_covid_analog,wf,-2.1256868866110734,3.096413718670389,1.4566650141060615,,0,0.0,0.0,0.5523169374985724,1.0
20,realistic_covid_analog,kfold,-2.1256868866110734,3.8484129441276407,1.8104326504375552,,0,0.0,0.0,0.5167129582119758,1.0
